StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q3,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_6_TEXT,Q5,Q5_3_TEXT,Q6,Q6_5_TEXT,Q8,Q9,Q11,Q13,Q16,Q15,Q17,Q18,Q20,Q21,Q39,Q40,Q41,Q42,Q44,Q45,Q47,Q48,Q49,Q50,Q29,Q30,Q31,Q33,Q34,Q35,Q36,Q37,Q38,Q51,Q52,Q53,Q27
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,"General Plan of the Research: In this survey, you will be asked to respond to questions discussing moments where you liked or disliked math. After each question is presented, you will be asked to answer the question to your best memory.  

A",Choose one or more race you consider yourself to be: - Selected Choice - White,Choose one or more race you consider yourself to be: - Selected Choice - Black or African American,Choose one or more race you consider yourself to be: - Selected Choice - American Indian or Alaska Native,Choose one or more race you consider yourself to be: - Selected Choice - Asian,Choose one or more race you consider yourself to be: - Selected Choice - Native Hawaiian or Pacific Islander,Choose one or more race you consider yourself to be: - Selected Choice - Other,Choose one or more race you consider yourself to be: - Other - Text,How do you identify yourself? - Selected Choice,How do you identify yourself? - Other - Text,What category does your major fall in? - Selected Choice,What category does your major fall in? - Other - Text,You have a certain amount of intelligence and you cannot really do much to change it.,Your intelligence is something about you that you cannot change very much.,"No matter who you are, you can significantly change your intelligence level.","To be honest, you cannot really change how intelligent you are.",You can always substantially change how intelligent you are.,"You can learn new things, but you cannot really change your basic intelligence.","No matter how much intelligence you have, you can always change it quite a bit.",You can change even your basic intelligence level considerably.,What was your grade level?,What topic were you learning?,My teacher encouraged everyone to do their best.,My teacher created an open environment for questions.,My teacher checked in to make sure everyone was following along.,My teacher made the lessons interesting.,What was your grade level?,What topic were you learning?,My teacher encouraged everyone to do their best.,My teacher created an open environment for questions.,My teacher checked in to make sure everyone was following along.,My teacher made the lessons interesting.,I am sure that I can learn math.,My teachers have been interested in my progress in math.,Knowing mathematics will help me earn a living.,I do not think I could do advanced math.,Math will not be important to me in my life's work.,Males are not naturally better than females in math.,Getting a teacher to take me seriously in math is a problem.,Math is hard for me.,It is hard to believe a female could be a genius in mathematics.,I'll need mathematics for my future work.,I am sure of myself when I do math.,It is hard to get math teachers to take me seriously.,"In the following text box, please complete the sentence:
 

I would like learning math more if...."
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4"",""choiceId"":""1""}","{""ImportId"":""QID4"",""choiceId"":""2""}","{""ImportId"":""QID4"",""choiceId"":""3""}","{""ImportId"":""QID4"",""choiceId"":""4""}","{""ImportId"":""QID4"",""choiceId"":""5""}","{""ImportId"":""QID4"",""choiceId"":""6""}","{""ImportId"":""QID4_6_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID5_3_TEXT""}","{""ImportId"":""QID6""}","{""ImportId"":""QID6_5_TEXT""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID11""}","{""ImportId"":""QID13""}","{""ImportId"":""QID16""}","{""ImportId"":""QID15""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42""}","{""ImportId"":""QID44""}","{""ImportId"":""QID45""}","{""ImportId"":""QID47""}","{""ImportId"":""QID48""}","{""ImportId"":""QID49""}","{""ImportId"":""QID50""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38""}","{""ImportId"":""QID51""}","{""ImportId"":""QID52""}","{""ImportId"":""QID53""}","{""ImportId"":""QID27_TEXT""}"
10/27/20 7:19,10/27/20 7:26,IP Address,100,432,TRUE,10/27/20 7:26,R_10ww71EygZjewTQ,anonymous,EN,"I consent, begin the study.",White,,,,,,,Female,,"Social Science major (Education, English, Psychology, etc.)",,Mostly Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Middle School (6th to 8th),Algebra,Always,Always,Always,Always,10th Grade,Geometry,Sometimes,Rarely ,Rarely ,Never,Agree,Disagree,Agree,Agree,Disagree,Mostly Agree,Agree,Strongly Agree,Disagree,Agree,Disagree,Mostly Agree,it was taught in a way that made it interesting.
10/27/20 10:04,10/27/20 10:08,IP Address,100,252,TRUE,10/27/20 10:08,R_1jNFppohcRFDahJ,anonymous,EN,"I consent, begin the study.",,Black or African American,,,,,,Female,,"Business related major (Economics, Accounting, etc.)",,Mostly Agree,Mostly Agree,Agree,Disagree,Agree,Agree,Agree,Strongly Agree,9th Grade,Algebra,Always,Always,Always,Always,12th Grade,Calculus,Always,Sometimes,Rarely ,Sometimes,Strongly Agree,Agree,Mostly Agree,Mostly Agree,Mostly Disagree,Mostly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Mostly Agree,Mostly Agree,Strongly Disagree,Teachers had a way of relating math to something else to make it a bit more understandable. I’d also like learning it more if they had an open environment to ask questions and made sure to go in depth if something isn’t understood.
10/27/20 10:05,10/27/20 10:09,IP Address,100,252,TRUE,10/27/20 10:09,R_1FlXvwAKp9ElPH1,anonymous,EN,"I consent, begin the study.",,,,,,Other,Hispanic,Female,,"STEM major (Biology, Math, etc.)",,Disagree,Disagree,Mostly Agree,Disagree,Mostly Agree,Mostly Agree,Mostly Agree,Mostly Agree,College,Algebra,Sometimes,Sometimes,Sometimes,Rarely ,College,Algebra,Rarely ,Rarely ,Rarely ,Rarely ,Disagree,Disagree,Disagree,Strongly Agree,Mostly Agree,Agree,Mostly Disagree,Strongly Agree,Strongly Disagree,Mostly Disagree,Strongly Disagree,Mostly Disagree,"it didn't exist. 

If it did not have word problems or the teachers provided more help"
10/27/20 13:15,10/27/20 13:19,IP Address,100,237,TRUE,10/27/20 13:19,R_XAna9KCupASNvXj,anonymous,EN,"I consent, begin the study.",White,,,,,,,Female,,"Social Science major (Education, English, Psychology, etc.)",,Mostly Disagree,Disagree,Agree,Disagree,Mostly Agree,Mostly Agree,Mostly Agree,Agree,11th Grade,Algebra,Always,Always,Always,Sometimes,9th Grade,Algebra,Rarely ,Sometimes,Rarely ,Never,Mostly Agree,Mostly Agree,Mostly Agree,Agree,Mostly Disagree,Agree,Mostly Disagree,Mostly Agree,Strongly Disagree,Mostly Disagree,Mostly Agree,Mostly Disagree,I could learn at my own pace.
10/27/20 19:43,10/27/20 19:51,IP Address,100,478,TRUE,10/27/20 19:51,R_1hPTSrmWvLSHDVv,anonymous,EN,"I consent, begin the study.",,,,,,Other,Hispanic,Female,,"STEM major (Biology, Math, etc.)",,Mostly Disagree,Mostly Disagree,Agree,Mostly Disagree,Agree,Mostly Agree,Agree,Agree,9th Grade,Algebra,Always,Always,Sometimes,Always,11th Grade,Algebra,Always,Always,Sometimes,Rarely ,Agree,Mostly Disagree,Agree,Mostly Disagree,Mostly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Mostly Agree,Mostly Agree,Mostly Disagree,My job in the future requires a good amount of knowledge of it.
10/27/20 20:03,10/27/20 20:08,IP Address,100,309,TRUE,10/27/20 20:08,R_eR4l89yGamT9MfD,anonymous,EN,"I consent, begin the study.",,,,,,Other,Hispanic,Female,,Other,,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,11th Grade,Algebra,Always,Always,Always,Always,12th Grade,Trigonometry,Always,Always,Sometimes,Sometimes,Strongly Agree,Agree,Mostly Agree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Agree,Strongly Agree,Disagree,it was less complicated. 
10/27/20 20:06,10/27/20 20:09,IP Address,100,186,TRUE,10/27/20 20:09,R_27lNBmeMggYIPbU,anonymous,EN,"I consent, begin the study.",,,,,,Other,,Female,,"Social Science major (Education, English, Psychology, etc.)",,Disagree,Disagree,Mostly Agree,Mostly Disagree,Mostly Agree,Mostly Disagree,Mostly Agree,Mostly Agree,11th Grade,Trigonometry,Always,Always,Always,Always,10th Grade,Geometry,Sometimes,Sometimes,Sometimes,Rarely ,Mostly Agree,Mostly Agree,Mostly Agree,Mostly Disagree,Mostly Disagree,Mostly Disagree,Mostly Disagree,Mostly Disagree,Strongly Disagree,Mostly Disagree,Mostly Disagree,Mostly Disagree,It was more related to the real world. 
10/27/20 20:11,10/27/20 20:15,IP Address,100,210,TRUE,10/27/20 20:15,R_2PnbDKp1ltlQK41,anonymous,EN,"I consent, begin the study.",White,,,,,,,Female,,"Arts major (Art, Music, etc.)",,Disagree,Mostly Disagree,Agree,Mostly Disagree,Mostly Agree,Disagree,Agree,Mostly Agree,10th Grade,Geometry,Always,Sometimes,Always,Always,College,Algebra,Never,Sometimes,Rarely ,Never,Mostly Agree,Mostly Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Mostly Disagree,Agree,Strongly Disagree,Agree,Agree,Mostly Disagree,the professors took more time to make it interesting and were able to relate it to my future career.
10/27/20 20:20,10/27/20 20:24,IP Address,100,259,TRUE,10/27/20 20:24,R_aeE9TvBCpdPM9gt,anonymous,EN,"I consent, begin the study.",White,,,,,,,Female,,"STEM major (Biology, Math, etc.)",,Disagree,Disagree,Agree,Strongly Disagree,Mostly Agree,Agree,Mostly Agree,Agree,11th Grade,Trigonometry,Always,Always,Always,Always,College,Calculus,Always,Always,Always,Never,Strongly Agree,Mostly Disagree,Mostly Disagree,Mostly Agree,Mostly Disagree,Mostly Agree,Disagree,Mostly Agree,Strongly Disagree,Mostly Agree,Mostly Disagree,Strongly Disagree,The professors made the lessons a bit more interactive. 
10/27/20 20:14,10/27/20 20:29,IP Address,100,877,TRUE,10/27/20 20:29,R_0Usms3JYFMoXOA9,anonymous,EN,"I consent, begin the study.",,,,,,Other,,Female,,"STEM major (Biology, Math, etc.)",,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Middle School (6th to 8th),Algebra,Always,Always,Always,Always,9th Grade,Geometry,Rarely ,Rarely ,Rarely ,Never,Strongly Agree,Mostly Agree,Agree,Strongly Disagree,Mostly Agree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Mostly Agree,Agree,Disagree,educators were more enthusiastic and patient or I was shown the use of higher-level math in real life 
10/27/20 21:15,10/27/20 21:28,IP Address,100,820,TRUE,10/27/20 21:28,R_3hthEMbMcbXCp6d,anonymous,EN,"I consent, begin the study.",,,,,,Other,Hispanic,Female,,"Social Science major (Education, English, Psychology, etc.)",,Mostly Agree,Strongly Agree,Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Middle School (6th to 8th),Algebra,Sometimes,Sometimes,Sometimes,Rarely ,11th Grade,Geometry,Sometimes,Sometimes,Sometimes,Sometimes,Mostly Agree,Mostly Disagree,Mostly Agree,Mostly Disagree,Strongly Disagree,Mostly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Mostly Agree,Disagree,Mostly Disagree,it was explained in a slower way
10/28/20 6:28,10/28/20 10:43,IP Address,100,15272,TRUE,10/28/20 10:43,R_1oCjyhe8XjlQy0j,anonymous,EN,"I consent, begin the study.",White,,,,,,,Male,,"Social Science major (Education, English, Psychology, etc.)",,Mostly Disagree,Mostly Disagree,Agree,Disagree,Mostly Agree,Mostly Agree,Mostly Agree,Mostly Agree,College,Calculus,Sometimes,Always,Sometimes,Sometimes,9th Grade,Geometry,Rarely ,Sometimes,Sometimes,Rarely ,Agree,Strongly Agree,Mostly Disagree,Agree,Mostly Disagree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Mostly Agree,Agree,Strongly Disagree,"each step was broken down a bit more, and not combined to make one big step in the process "
10/21/20 12:29,10/21/20 12:29,IP Address,12,27,FALSE,10/28/20 12:29,R_2wT7HgFmtpltGev,anonymous,EN,"I consent, begin the study.",White,,,,,,,Female,,"STEM major (Biology, Math, etc.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/29/20 10:46,10/29/20 10:50,IP Address,100,275,TRUE,10/29/20 10:51,R_1FQEn4nVlYsovFO,anonymous,EN,"I consent, begin the study.",White,,,,,,,Female,,"Social Science major (Education, English, Psychology, etc.)",,Disagree,Mostly Disagree,Agree,Agree,Mostly Disagree,Mostly Agree,Mostly Agree,Disagree,Middle School (6th to 8th),Algebra,Always,Always,Always,Always,12th Grade,Calculus,Rarely ,Rarely ,Never,Rarely ,Agree,Mostly Agree,Mostly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Mostly Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Mostly Agree,I were able to apply it. Abstract or conceptual approaches to math are not as easy for me to understand as when I have an example or can apply the material somehow.
10/29/20 13:48,10/29/20 13:54,IP Address,100,325,TRUE,10/29/20 13:54,R_1DCfyxNMpaJEuAs,anonymous,EN,"I consent, begin the study.",,Black or African American,,,,,,Male,,"STEM major (Biology, Math, etc.)",,Strongly Disagree,Strongly Disagree,Mostly Agree,Strongly Disagree,Mostly Agree,Agree,Agree,Mostly Agree,College,Calculus,Always,Always,Sometimes,Always,10th Grade,Geometry,Sometimes,Sometimes,Rarely ,Never,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Mostly Agree,Disagree,math was done in groups of two or more. 
10/29/20 18:09,10/29/20 18:13,IP Address,100,254,TRUE,10/29/20 18:13,R_3R9qvd889lNEULy,anonymous,EN,"I consent, begin the study.",,,,,,Other,Latino,Male,,"Social Science major (Education, English, Psychology, etc.)",,Mostly Disagree,Disagree,Strongly Agree,Mostly Disagree,Agree,Mostly Disagree,Agree,Agree,12th Grade,Geometry,Sometimes,Rarely ,Sometimes,Sometimes,College,Calculus,Always,Sometimes,Sometimes,Sometimes,Agree,Mostly Agree,Agree,Mostly Disagree,Disagree,Mostly Agree,Agree,Agree,Disagree,Mostly Disagree,Mostly Agree,Mostly Agree,I tried harder and be more focused. Also have more time to study and learn the material. 
10/29/20 19:09,10/29/20 19:21,IP Address,100,724,TRUE,10/29/20 19:21,R_2zZRxMta5UOL72a,anonymous,EN,"I consent, begin the study.",,,,,,Other,Hispanic ,Female,,Other,Humanities ,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Agree,Agree,College,Algebra,Always,Always,Always,Always,12th Grade,Calculus,Rarely ,Always,Rarely ,Never,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Mostly Agree,Strongly Disagree,Strongly Disagree,Mostly Disagree,Agree,Disagree,"I’ve never had a problem learning math, it was one of my favorite subjects. My interest in math had an influence on the teachers and professors I had, the lectures were very organized and followed along with everyone making it accessible for all student"
