StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q9_10,Q26_1,Q26_2,Q26_3,Q26_4,Q26_5,Q26_6,Q26_7,Q26_8,Q26_9,Q26_10,Q30,Q28_1,Q28_2,Q28_3,Q28_4,Q28_5,Q28_6,Q28_7,Q28_8,Q28_9,Q28_10,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q11_10,Q31,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q13_7,Q13_8,Q13_9,Q13_10,Q29_1,Q29_2,Q29_3,Q29_4,Q29_5,Q29_6,Q29_7,Q29_8,Q29_9,Q29_10,Q20,Q18,Q19,Q19_6_TEXT,Q26,Q21,Q22,Q21,Q25,Q25_17_TEXT,Q23,Q24,Q25,Q16_1,Q16_2,Q16_3
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,In-Person Live Music Events - I would like to attend live music events because they might take me back to when I listened to the artist(s) in my childhood.,In-Person Live Music Events - I think the production and theatrical performance of a live music event would be beautiful.,In-Person Live Music Events - I would look forward to the live music events I attend because they are different from other leisure activities I normally do.,In-Person Live Music Events - I would enjoy watching live in-person music events because I find the artists physically attractive.,In-Person Live Music Events - Attending a live music event would represent an escape for me from my day to day activities.,In-Person Live Music Events - Going to live music events that other people don't go to would make me feel special.,In-Person Live Music Events - It is important for the artist to showcase their skill level at a live music event.,In-Person Live Music Events - I would enjoy hearing acoustic versions of an artist's songs at a live music event.,In-Person Live Music Events - Attending live music events is an important way to show an artist that I am a fan.,"In-Person Live Music Events - If I were to attend an artist's live music event, I would engage in behaviors which may be frowned upon in a normal social setting.",In-Person Live Music Events - Attending a live music event would allow me to relive happy memories from the past.,In-Person Live Music Events - I would have an artistic appreciation for the technical skill of the artist performing at a live music event.,In-Person Live Music Events - The sex appeal of an individual band member/artist may be more important to me than the music at a live music event.,In-Person Live Music Events - I would like to talk and brag about the live music events I have been to.,In-Person Live Music Events - I would enjoy watching a well-executed live music event performance.,In-Person Live Music Events - Interacting with other fans is a very important part of attending a live music event.,"In-Person Live Music Events - Being able to dance, ""head-bang,"" or air guitar in an uninhibited setting is an important reason why I would attend live music events.",In-Person Live Music Events - A live music event is a great way to socialize with strangers.,In-Person Live Music Events - It would be important to me to hear music at a live music event that has not yet been released.,In-Person Live Music Events - I would need to attend an artist's live music event to show my support and dedication.,I would prefer to see holographic music events in a group of people.,Holographic Music Events - I would like to attend holographic music events because I didn't get to see them as a child.,Holographic Music Events - I would appreciate the beauty inherent in the performance of holographic music events.,Holographic Music Events - I would attend holographic music events to relieve the boredom of everyday life.,Holographic Music Events - I think the production and theatrical performance of a holographic music event  would be beautiful.,Holographic Music Events - The main reason I would attend holographic music events is because I find the performers attractive.,"Holographic Music Events - I believe the more holographic music events I might attend, the more people will be impressed by me.",Holographic Music Events - I would enjoy watching a well-executed holographic music event.,Holographic Music Events - I would attend holographic music events to be with people who enjoy the same things I do.,Holographic Music Events - Being in close proximity to the holographic artist at a holographic music event would be important to me.,Holographic Music Events - The holographic music event experience would stimulate me in a way that I would not normally act.,Holographic Music Events - Attending a holographic music event would allow me to relive happy memories from the past.,Holographic Music Events - A holographic music event would be a great change of pace from what I regularly do.,Holographic Music Events - I would enjoy watching holographic music events because I find the artist(s) physically attractive.,Holographic Music Events - I would enjoy hearing holographic performers play covers at concerts.,"Holographic Music Events - The more holographic music events I might attend, the bigger the fan I am.",Holographic Music Events - I would appreciate the physical skills of a holographic musician.,Holographic Music Events - I would enjoy hearing acoustic versions of an artist's song at their holographic music event.,Holographic Music Events - Supporting a holographic artist at a holographic music event would be important to me.,Holographic Music Events - I would attend holographic music events to spend time with my friends.,Holographic Music Events - Experiencing music at very high decibels would be an appealing feature of a holographic music event.,I would prefer to see live streaming virtual music events in a group of people.,Live Streaming Virtual Music Events - I would appreciate the beauty inherent in the performance of live streaming virtual music events.,Live Streaming Virtual Music Events - I would like to attend live streaming virtual music events because I didn't get to see them as a child.,Live Streaming Virtual Music Events - I would have an artistic appreciation for the technical skill of the artist(s) performing at a live streaming virtual music event.,Live Streaming Virtual Music Events - A live streaming virtual music event would be a great change of pace from what I regularly do.,Live Streaming Virtual Music Events - The sex appeal of an individual band member/artist would be more important to me than the music at a live streaming virtual music event.,Live Streaming Virtual Music Events - I would not be a true fan of an artist if I did not attend their live streaming virtual music events.,Live Streaming Virtual Music Events - It is important for an artist to showcase their skill level at live streaming virtual music events.,Live Streaming Virtual Music Events - It would be important for me to hear music at a live streaming virtual music event that has not yet been released.,Live Streaming Virtual Music Events - I would enjoy hearing artists play covers at live streaming virtual music events.,"Live Streaming Virtual Music Events - Being able to dance, ""head-bang"", or air guitar in an uninhibited setting would be an important reason why I attend live streaming virtual music events.",Live Streaming Virtual Music Events - I would like to attend live streaming virtual music events because it would take me back to when I listened to artists in my childhood.,Live Streaming Virtual Music Events - Attending a live streaming virtual music event would represent an escape for me from my day to day activities.,Live Streaming Virtual Music Events - The main reason I would attend live streaming virtual music events is because I find the performers attractive.,Live Streaming Virtual Music Events - Going to live streaming virtual music events that other people don't go to would make me feel special.,Live Streaming Virtual Music Events - I would appreciate the skills of a live streaming virtual artist.,Live Streaming Virtual Music Events - I would talk to other people surrounding me at a live streaming virtual music event.,Live Streaming Virtual Music Events - I would feel like part of a group with similar interests when attending a live streaming virtual music event.,Live Streaming Virtual Music Events - I would need to attend a live streaming virtual music event to show my support and dedication.,Live Streaming Virtual Music Events - Supporting live streaming virtual music events would be important to me.,Live Streaming Virtual Music Events - The live streaming virtual music event experience would stimulate me in a way that I would not normally act.,What is your age?,What is your gender?,What is your ethnicity? - Selected Choice,What is your ethnicity? - Other - Text,Which region of the country do you live in?,What is your marital status?,What is your average yearly income before taxes?,"Does your income include compensation from any aspect of the music industry (i.e. artist, manager, agent, promoter, etc.)?",What genres of music do you listen to? - Selected Choice,What genres of music do you listen to? - Other - Text,How much are you willing to pay for an in-person live music event?  Please select all that apply.,How much are you willing to pay for a holographic music event? Please select all that apply.,How much are you willing to pay for a live streaming virtual music event? Please select all that apply.,"Rank your comfort levels in each scenario below, based upon your feelings regarding the global pandemic and its restrictions. - How likely are you to attend a live music event in-person?","Rank your comfort levels in each scenario below, based upon your feelings regarding the global pandemic and its restrictions. - How likely are you to worry about contracting and/or spreading COVID-19?","Rank your comfort levels in each scenario below, based upon your feelings regarding the global pandemic and its restrictions. - How likely are you to social distance, wear a mask, and take all other safety precautions required by your state in public settings?"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID9_3""}","{""ImportId"":""QID9_6""}","{""ImportId"":""QID9_7""}","{""ImportId"":""QID9_5""}","{""ImportId"":""QID9_10""}","{""ImportId"":""QID9_12""}","{""ImportId"":""QID9_16""}","{""ImportId"":""QID9_18""}","{""ImportId"":""QID9_19""}","{""ImportId"":""QID34_2""}","{""ImportId"":""QID34_4""}","{""ImportId"":""QID34_8""}","{""ImportId"":""QID34_9""}","{""ImportId"":""QID34_11""}","{""ImportId"":""QID34_13""}","{""ImportId"":""QID34_20""}","{""ImportId"":""QID34_14""}","{""ImportId"":""QID34_15""}","{""ImportId"":""QID34_17""}","{""ImportId"":""QID38""}","{""ImportId"":""QID36_1""}","{""ImportId"":""QID36_3""}","{""ImportId"":""QID36_6""}","{""ImportId"":""QID36_4""}","{""ImportId"":""QID36_8""}","{""ImportId"":""QID36_10""}","{""ImportId"":""QID36_12""}","{""ImportId"":""QID36_14""}","{""ImportId"":""QID36_17""}","{""ImportId"":""QID36_19""}","{""ImportId"":""QID11_2""}","{""ImportId"":""QID11_5""}","{""ImportId"":""QID11_7""}","{""ImportId"":""QID11_15""}","{""ImportId"":""QID11_9""}","{""ImportId"":""QID11_11""}","{""ImportId"":""QID11_16""}","{""ImportId"":""QID11_18""}","{""ImportId"":""QID11_13""}","{""ImportId"":""QID11_20""}","{""ImportId"":""QID39""}","{""ImportId"":""QID13_21""}","{""ImportId"":""QID13_2""}","{""ImportId"":""QID13_4""}","{""ImportId"":""QID13_6""}","{""ImportId"":""QID13_8""}","{""ImportId"":""QID13_9""}","{""ImportId"":""QID13_12""}","{""ImportId"":""QID13_15""}","{""ImportId"":""QID13_16""}","{""ImportId"":""QID13_20""}","{""ImportId"":""QID37_1""}","{""ImportId"":""QID37_5""}","{""ImportId"":""QID37_7""}","{""ImportId"":""QID37_10""}","{""ImportId"":""QID37_11""}","{""ImportId"":""QID37_13""}","{""ImportId"":""QID37_14""}","{""ImportId"":""QID37_17""}","{""ImportId"":""QID37_18""}","{""ImportId"":""QID37_19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID19_6_TEXT""}","{""ImportId"":""QID26""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID29""}","{""ImportId"":""QID33""}","{""ImportId"":""QID33_17_TEXT""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID16_2""}","{""ImportId"":""QID16_3""}"
2020-10-02 09:48:43,2020-10-02 09:51:56,IP Address,149.151.186.166,100,192,True,2020-10-02 09:51:56,R_3esKGNqQIz68xK5,,,,,40.9138031005859375,-74.18959808349609375,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-05 16:51:23,2020-10-05 16:57:12,IP Address,98.35.48.112,100,348,True,2020-10-05 16:57:12,R_1IWWwgNp3O16c61,,,,,38.0081939697265625,-122.2682037353515625,anonymous,EN,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,True,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Neutral,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,True,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Strongly Disagree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,18-24 years old,Female,Asian / Pacific Islander,,"West - AK, CA, CO, HI, ID, MT, NV, OR, UT, WA, WY","Single, never married","Less than $25,000",No,"Pop,Rock,Hip hop,Country,R&B",,"$0,Less than $25,$25 to $50,$50 to $100,$100 to $250","$0,Less than $25","$0,Less than $25",-2,2,2
2020-10-05 17:04:01,2020-10-05 17:17:28,IP Address,73.198.135.169,100,806,True,2020-10-05 17:17:28,R_20VgjBK54f5BuAG,,,,,39.801300048828125,-75.0030975341796875,anonymous,EN,Somewhat Disagree,Strongly Agree,Somewhat Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Somewhat Disagree,True,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Neutral,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Neutral,False,Strongly Agree,Strongly Disagree,Strongly Agree,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Neutral,Somewhat Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,45-54 years old,Female,White,,"Northeast - CT, DC, DE, MA, MD, ME, NH, NJ, NY, PA, RI, VT",Married or domestic partnership,"$100,000 to $149,999",No,"Pop,Rock,Country",,"$0,Less than $25,$25 to $50,$50 to $100,$100 to $250","$0,Less than $25,$25 to $50,$50 to $100","$0,Less than $25",2,-1,2
2020-10-05 17:32:16,2020-10-05 17:47:33,IP Address,69.122.213.223,100,917,True,2020-10-05 17:47:34,R_1qXlgRTIwip6oZ6,,,,,41.0095062255859375,-74.00789642333984375,anonymous,EN,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Neutral,Neutral,Somewhat Agree,Strongly Agree,Neutral,False,Neutral,Strongly Agree,Strongly Agree,Somewhat Agree,Neutral,Somewhat Disagree,Strongly Agree,Neutral,Somewhat Disagree,Neutral,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Neutral,True,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Somewhat Disagree,Neutral,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,18-24 years old,Female,Hispanic or Latino,,"West - AK, CA, CO, HI, ID, MT, NV, OR, UT, WA, WY","Single, never married","Less than $25,000",No,"Pop,Rock,Hip hop,Jazz,Blues,Folk,Heavy metal,Musical theater,Classical,Country,R&B,EDM",,"$0,Less than $25,$25 to $50,$50 to $100,$100 to $250,$250 to $500","$0,Less than $25,$25 to $50,$50 to $100","$0,Less than $25,$25 to $50",2,-2,0
2020-10-05 17:52:34,2020-10-05 18:01:02,IP Address,42.3.224.125,100,508,True,2020-10-05 18:01:03,R_sjTaxAdTZyrbhGF,,,,,22.2794952392578125,114.14599609375,anonymous,EN,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Strongly Agree,Strongly Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Agree,Neutral,False,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Somewhat Disagree,Strongly Disagree,Strongly Disagree,True,Somewhat Agree,Strongly Disagree,Somewhat Agree,Neutral,Strongly Disagree,Strongly Disagree,Somewhat Agree,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,45-54 years old,Female,Asian / Pacific Islander,,"West - AK, CA, CO, HI, ID, MT, NV, OR, UT, WA, WY",Married or domestic partnership,"$75,000 to $99,999",No,"Rock,Jazz,Blues,Folk,Musical theater",,"$50 to $100,$100 to $250,$250 to $500",$0,Less than $25,-2,2,2
2020-10-05 17:53:42,2020-10-05 18:03:12,IP Address,68.193.253.66,100,570,True,2020-10-05 18:03:12,R_2cc6elLIZDdGES2,,,,,41.0301055908203125,-74.29650115966796875,anonymous,EN,Strongly Disagree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Strongly Disagree,False,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,False,Somewhat Agree,Strongly Disagree,Somewhat Agree,Neutral,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,45-54 years old,Male,Asian / Pacific Islander,,"Northeast - CT, DC, DE, MA, MD, ME, NH, NJ, NY, PA, RI, VT","Single, never married","$75,000 to $99,999",No,"Pop,Rock,Country",,$100 to $250,$0,$25 to $50,2,2,2
2020-10-05 17:56:02,2020-10-05 18:04:19,IP Address,99.203.118.187,100,497,True,2020-10-05 18:04:19,R_UmYODh2E4ES6vEl,,,,,40.7126007080078125,-74.00659942626953125,anonymous,EN,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,True,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,True,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Disagree,18-24 years old,Female,White,,"Northeast - CT, DC, DE, MA, MD, ME, NH, NJ, NY, PA, RI, VT","Single, never married","Less than $25,000",No,"Pop,R&B,Other","Alternative ","Less than $25,$25 to $50,$50 to $100,$100 to $250",Less than $25,Less than $25,-2,2,2
2020-10-05 17:54:56,2020-10-05 18:04:27,IP Address,72.76.184.230,100,570,True,2020-10-05 18:04:27,R_2eQnJp6VaSVS76f,,,,,40.8491973876953125,-73.97350311279296875,anonymous,EN,Somewhat Disagree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,False,Strongly Disagree,Neutral,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Neutral,Somewhat Agree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Disagree,False,Somewhat Agree,Strongly Disagree,Strongly Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Neutral,Strongly Disagree,25-34 years old,Female,White,,"Northeast - CT, DC, DE, MA, MD, ME, NH, NJ, NY, PA, RI, VT","Single, never married","$50,000 to $74,999",No,"Rock,Jazz,Heavy metal,Classical,Country",,"$0,Less than $25,$25 to $50,$50 to $100,$100 to $250","$0,Less than $25,$25 to $50","$0,Less than $25,$25 to $50",1,0,2
