StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q3,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q1,Q6,Q7,Q7_8_TEXT,Q8,Q9,Q10,Q10_6_TEXT,Q11,Q12,Q12_8_TEXT,Q15
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Do you think taking a break while studying or doing school work is beneficial? (Regardless if you do so or not),What do you think is the best amount of time to spend taking a break?,Rank the following activities on what you would prefer to do during a break. (Drag the answer choices. The list should be in order of MOST preferred to Least preferred) - Physical Activity,Rank the following activities on what you would prefer to do during a break. (Drag the answer choices. The list should be in order of MOST preferred to Least preferred) - Breathing exercises,Rank the following activities on what you would prefer to do during a break. (Drag the answer choices. The list should be in order of MOST preferred to Least preferred) - Stretching Exercises,Rank the following activities on what you would prefer to do during a break. (Drag the answer choices. The list should be in order of MOST preferred to Least preferred) - Watch a Video,Rank the following activities on what you would prefer to do during a break. (Drag the answer choices. The list should be in order of MOST preferred to Least preferred) - Begin Work For Another Assignment,Rank the following activities on what you would prefer to do during a break. (Drag the answer choices. The list should be in order of MOST preferred to Least preferred) - Use Cellphone,"Have you ever heard of the term ""Brain Break""?","When studying or doing homework, do you take breaks?",What do you do during your breaks? (Check all that apply) - Selected Choice,What do you do during your breaks? (Check all that apply) - Other - Text,How long of a break do you take?,Do you feel refocused when you return to your work?,"Why don't you take breaks when studying, or doing school work? (Check all that apply) - Selected Choice","Why don't you take breaks when studying, or doing school work? (Check all that apply) - Other - Text",If you were to take a break how long would it be?,If you were to take a break what would you do during it? (Select all that may apply) - Selected Choice,If you were to take a break what would you do during it? (Select all that may apply) - Other - Text,Why do you choose to take breaks when studying or doing school work? (Select all that may apply)
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID4_2""}","{""ImportId"":""QID4_3""}","{""ImportId"":""QID4_4""}","{""ImportId"":""QID4_5""}","{""ImportId"":""QID4_6""}","{""ImportId"":""QID1""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID7_8_TEXT""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID10_6_TEXT""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID12_x8_TEXT""}","{""ImportId"":""QID15""}"
2020-10-12 13:30:01,2020-10-12 13:31:06,IP Address,174.225.12.77,100,65,True,2020-10-12 13:31:06,R_31nI9mwhwyqQwkz,,,,,40.6367950439453125,-74.37270355224609375,anonymous,EN,Yes,30 minutes,3,2,1,6,5,4,Yes,Yes,"Physical Activity,Stretching,Use a Cellphone,Do Work For Another Assignment/Task,Sleep,Go Outside",,30 minutes,Yes,,,,,,"I can't stay focused for long periods of time,I work productively if I take a break,I can't sit still for long periods of time"
2020-10-12 13:29:56,2020-10-12 13:31:12,IP Address,24.190.55.209,100,76,True,2020-10-12 13:31:12,R_2wN6xMjzJkOZXFU,,,,,40.93499755859375,-74.1175994873046875,anonymous,EN,Yes,10 minutes,3,4,1,5,2,6,No,Yes,"Physical Activity,Stretching,Watch a Video,Do Work For Another Assignment/Task,Sleep",,30 minutes,Yes,,,,,,I can't stay focused for long periods of time
2020-10-12 13:32:46,2020-10-12 13:34:43,IP Address,174.225.128.210,100,116,True,2020-10-12 13:34:43,R_2wGKO5IvJrIiyQQ,,,,,40.7467041015625,-74.057403564453125,anonymous,EN,Yes,5 minutes,2,5,6,3,4,1,Yes,No,,,,,"It is difficult for me to refocus after taking a break,Other",I have ADHD so if I am focused I wouldn’t want to ruin that and most of the time I am already not focused so breaks aren’t necessary for me,2 minutes,"Physical Activity,Use a Cellphone,Sleep,Go Outside",,
2020-10-12 13:34:06,2020-10-12 13:35:20,IP Address,74.105.60.223,100,73,True,2020-10-12 13:35:20,R_2VBFuNCsYrYkhLI,,,,,40.7718048095703125,-74.20980072021484375,anonymous,EN,Yes,30 minutes,6,5,4,2,3,1,No,Yes,"Watch a Video,Use a Cellphone,Do Work For Another Assignment/Task,Sleep",,30 minutes,Yes,,,,,,I can't stay focused for long periods of time
2020-10-12 13:35:41,2020-10-12 13:37:47,IP Address,24.46.1.77,100,125,True,2020-10-12 13:37:47,R_1IiTQy58GX4h0bw,,,,,40.9654998779296875,-74.30159759521484375,anonymous,EN,Yes,30 minutes,2,5,6,3,4,1,No,Yes,"Physical Activity,Watch a Video,Use a Cellphone,Go Outside",,30 minutes,Yes,,,,,,"I can't stay focused for long periods of time,I can't sit still for long periods of time"
2020-10-12 13:37:01,2020-10-12 13:38:13,IP Address,72.88.138.168,100,72,True,2020-10-12 13:38:14,R_TioLnfV5uiAFnqh,,,,,40.3583984375,-74.0680999755859375,anonymous,EN,Yes,30 minutes,4,3,2,1,6,5,Yes,Yes,"Stretching,Watch a Video,Use a Cellphone,Sleep,Go Outside",,30 minutes,Yes,,,,,,"I can't stay focused for long periods of time,I can easily refocus after my break,I work productively if I take a break,I can't sit still for long periods of time"
2020-10-12 13:37:04,2020-10-12 13:38:24,IP Address,173.54.28.80,100,79,True,2020-10-12 13:38:24,R_3sdgeh8CNcmGwo6,,,,,40.789794921875,-74.13079833984375,anonymous,EN,No,30 minutes,5,4,6,2,3,1,Yes,No,,,,,"I want to finish my work earlier,It is difficult for me to refocus after taking a break",,30 minutes,"Watch a Video,Use a Cellphone,Do Work For Another Assignment/Task,Go Outside",,
2020-10-12 13:37:03,2020-10-12 13:38:27,IP Address,24.46.4.52,100,84,True,2020-10-12 13:38:28,R_1o6AtbuuTSwQmsy,,,,,40.9654998779296875,-74.30159759521484375,anonymous,EN,Yes,30 minutes,6,4,5,2,3,1,Yes,Yes,"Watch a Video,Use a Cellphone,Do Work For Another Assignment/Task,Sleep,Go Outside",,30 minutes,Yes,,,,,,"I can't stay focused for long periods of time,I can't sit still for long periods of time"
