StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q12_9,Q12_10,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_7,Q14_8,Q14_9,Q14_10,Q14_11,Q14_12,Q14_13,Q14_14,Q14_15,Q14_16,Q14_17,Q14_18
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,"Project Name: The Relationship Between Social Media Use, Anxiety, and Relationship Satisfaction. 
Principal Investigator: Jayde Onori
Popular Music Major 
William Paterson University 
College of Arts & Communication 
201-708-5563 onorij@student.wpunj.edu  
Voluntary participation: Your participation is voluntary and at any time during the study, you have the right to refuse to answer questions or discontinue your participation in this survey without penalty. 
Duration: The experiment will last no longer than 15 minutes. 
Risks and Benefits: There are no risks associated with this study beyond what would be encountered in normal life. All data will be collected anonymously. If you find some of the questions to be sensitive or experience any emotional discomfort, refer to the contact information provided below for help. 
Statement of Confidentiality: Your participation in this research is confidential. No personally identifiable information will be stored with your data, and data will be stored on a password protected computer. 
Purpose of the Research: The purpose of this research study is to determine whether high social media use reduces relationship satisfaction by increasing anxiety. 
General Plan of the Research: In this survey, you will be asked to respond to a series of scales and personal questions. After each question is presented, you will be asked to answer the following question or complete the following scale. After the survey, you are encouraged to ask questions about this research and your rights as a participant. Contact information is included below, and you may voice any concerns and report any study-related problems.                                                    
Right to Ask Questions: If you have any questions concerning this research project, you should contact Jayde Onori at 201-708-5563 or by email at onorij@student.wpunj.edu. If you experienced any emotional discomfort that you wish to address to someone other than the investigator, you may contact William Paterson’s Counseling Services at 973-720-2257. You must be 18 years of age or older to take part in this research study.",What is your age?,Which of the following best describes your gender?,Which of the following best describes your sexual orientation?,What is your current relationship status?,"What social media platforms do you actively use (post, comment, like, etc.)? Mark your answer with an ""X"". - Facebook","What social media platforms do you actively use (post, comment, like, etc.)? Mark your answer with an ""X"". - Instagram","What social media platforms do you actively use (post, comment, like, etc.)? Mark your answer with an ""X"". - Twitter","What social media platforms do you actively use (post, comment, like, etc.)? Mark your answer with an ""X"". - Snapchat","What social media platforms do you actively use (post, comment, like, etc.)? Mark your answer with an ""X"". - TikTok","What social media platforms do you actively use (post, comment, like, etc.)? Mark your answer with an ""X"". - Other (please specify)","What platforms does your significant other actively use (post, like, comment, etc.)? Mark your answer with an ""X"". - Facebook","What platforms does your significant other actively use (post, like, comment, etc.)? Mark your answer with an ""X"". - Instagram","What platforms does your significant other actively use (post, like, comment, etc.)? Mark your answer with an ""X"". - Twitter","What platforms does your significant other actively use (post, like, comment, etc.)? Mark your answer with an ""X"". - Snapchat","What platforms does your significant other actively use (post, like, comment, etc.)? Mark your answer with an ""X"". - TikTok","What platforms does your significant other actively use (post, like, comment, etc.)? Mark your answer with an ""X"". - Other (please specify)","Using your iPhone, go to Settings>Screen Time>See All Activity>select Week and document how frequently you used those social media platforms for the average week. For non-iPhone users, skip this step. - Facebook","Using your iPhone, go to Settings>Screen Time>See All Activity>select Week and document how frequently you used those social media platforms for the average week. For non-iPhone users, skip this step. - Instagram","Using your iPhone, go to Settings>Screen Time>See All Activity>select Week and document how frequently you used those social media platforms for the average week. For non-iPhone users, skip this step. - Twiiter","Using your iPhone, go to Settings>Screen Time>See All Activity>select Week and document how frequently you used those social media platforms for the average week. For non-iPhone users, skip this step. - Snapchat","Using your iPhone, go to Settings>Screen Time>See All Activity>select Week and document how frequently you used those social media platforms for the average week. For non-iPhone users, skip this step. - TikTok","Using your iPhone, go to Settings>Screen Time>See All Activity>select Week and document how frequently you used those social media platforms for the average week. For non-iPhone users, skip this step. - Other","For non-iPhone users, give your best approximation of your average weekly screen time for each social media platform you use. (ex:1h 23m) - Facebook","For non-iPhone users, give your best approximation of your average weekly screen time for each social media platform you use. (ex:1h 23m) - Instagram","For non-iPhone users, give your best approximation of your average weekly screen time for each social media platform you use. (ex:1h 23m) - Twitter","For non-iPhone users, give your best approximation of your average weekly screen time for each social media platform you use. (ex:1h 23m) - Snapchat","For non-iPhone users, give your best approximation of your average weekly screen time for each social media platform you use. (ex:1h 23m) - TikTok","For non-iPhone users, give your best approximation of your average weekly screen time for each social media platform you use. (ex:1h 23m) - Other","Generalized Anxiety Disorder

Over the last two weeks, how often have you been bothered by the following problems? - Feeling nervous, anxious, or on edge.","Generalized Anxiety Disorder

Over the last two weeks, how often have you been bothered by the following problems? - Not being able to stop or control worrying.","Generalized Anxiety Disorder

Over the last two weeks, how often have you been bothered by the following problems? - Worrying too much about different things.","Generalized Anxiety Disorder

Over the last two weeks, how often have you been bothered by the following problems? - Trouble relaxing.","Generalized Anxiety Disorder

Over the last two weeks, how often have you been bothered by the following problems? - Being so restless that it is hard to sit still.","Generalized Anxiety Disorder

Over the last two weeks, how often have you been bothered by the following problems? - Becoming easily annoyed or irritable.","Generalized Anxiety Disorder

Over the last two weeks, how often have you been bothered by the following problems? - Feeling afraid, as if something awful might happen.","Relationship Assessment Scale
Select the item that you feel best answers each statement. - How well does your partner meet your needs?","Relationship Assessment Scale
Select the item that you feel best answers each statement. - In general, how satisfied are you with your relationship?","Relationship Assessment Scale
Select the item that you feel best answers each statement. - How good is your relationship compared to most?","Relationship Assessment Scale
Select the item that you feel best answers each statement. - How often do you wish you hadn’t gotten in this relationship?","Relationship Assessment Scale
Select the item that you feel best answers each statement. - To what extent has your relationship met your original expectations?","Relationship Assessment Scale
Select the item that you feel best answers each statement. - How much do you love your partner?","Relationship Assessment Scale
Select the item that you feel best answers each statement. - How many problems are there in your relationship?","Rosenberg Self-Esteem Scale
Select the item that you feel best answers each statement. - On the whole, I am satisfied with myself.","Rosenberg Self-Esteem Scale
Select the item that you feel best answers each statement. - At times I think I am no good at all.","Rosenberg Self-Esteem Scale
Select the item that you feel best answers each statement. - I feel that I have a number of good qualities.","Rosenberg Self-Esteem Scale
Select the item that you feel best answers each statement. - I am able to do things as well as most other people.","Rosenberg Self-Esteem Scale
Select the item that you feel best answers each statement. - I feel I do not have much to be proud of.","Rosenberg Self-Esteem Scale
Select the item that you feel best answers each statement. - I certainly feel useless at times.","Rosenberg Self-Esteem Scale
Select the item that you feel best answers each statement. - I feel that I'm a person of worth, at least on an equal plane with others.","Rosenberg Self-Esteem Scale
Select the item that you feel best answers each statement. - I wish I could have more respect for myself.","Rosenberg Self-Esteem Scale
Select the item that you feel best answers each statement. - All in all, I am inclined to feel that I am a failure.","Rosenberg Self-Esteem Scale
Select the item that you feel best answers each statement. - I take a positive attitude toward myself.","Bergen Social Media Scale
Select the item that you feel best answers each statement. - You spend a lot of time thinking about social media or planning how to use it.","Bergen Social Media Scale
Select the item that you feel best answers each statement. - You feel an urge to use social media more and more.","Bergen Social Media Scale
Select the item that you feel best answers each statement. - You use social media in order to forget about personal problems.","Bergen Social Media Scale
Select the item that you feel best answers each statement. - You have tried to cut down on the use of social media without success.","Bergen Social Media Scale
Select the item that you feel best answers each statement. - You become restless or troubled if you are prohibited from using social media.","Bergen Social Media Scale
Select the item that you feel best answers each statement. - You use social media so much that it has had a negative impact on your job/studies.","Adult Attachment Scale 
Select the item that you feel best answers each statement. - I find it difficult to allow myself to depend on others.","Adult Attachment Scale 
Select the item that you feel best answers each statement. - People are never there when you need them.","Adult Attachment Scale 
Select the item that you feel best answers each statement. - I am comfortable depending on others.","Adult Attachment Scale 
Select the item that you feel best answers each statement. - I know that others will be there when I need them.","Adult Attachment Scale 
Select the item that you feel best answers each statement. - I find it difficult to trust others completely.","Adult Attachment Scale 
Select the item that you feel best answers each statement. - I am not sure that I can always depend on others to be there when I need them.","Adult Attachment Scale 
Select the item that you feel best answers each statement. - I do not often worry about being abandoned.","Adult Attachment Scale 
Select the item that you feel best answers each statement. - I often worry that my partner does not really love me.","Adult Attachment Scale 
Select the item that you feel best answers each statement. - I find others are reluctant to get as close as I would like.","Adult Attachment Scale 
Select the item that you feel best answers each statement. - I often worry my partner will not want to stay with me.","Adult Attachment Scale 
Select the item that you feel best answers each statement. - I want to merge completely with another person.","Adult Attachment Scale 
Select the item that you feel best answers each statement. - My desire to merge sometimes scares people away.","Adult Attachment Scale 
Select the item that you feel best answers each statement. - I find it relatively easy to get close to others.","Adult Attachment Scale 
Select the item that you feel best answers each statement. - I do not often worry about someone getting close to me.","Adult Attachment Scale 
Select the item that you feel best answers each statement. - I am somewhat uncomfortable being close to others.","Adult Attachment Scale 
Select the item that you feel best answers each statement. - I am nervous when anyone gets too close.","Adult Attachment Scale 
Select the item that you feel best answers each statement. - I am comfortable having others depend on me.","Adult Attachment Scale 
Select the item that you feel best answers each statement. - Often, love partners want me to be more intimate than I feel comfortable being."
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID14""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID8""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID6_2""}","{""ImportId"":""QID6_3""}","{""ImportId"":""QID6_4""}","{""ImportId"":""QID6_5""}","{""ImportId"":""QID6_6""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID7_2""}","{""ImportId"":""QID7_3""}","{""ImportId"":""QID7_4""}","{""ImportId"":""QID7_5""}","{""ImportId"":""QID7_6""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID9_2""}","{""ImportId"":""QID9_3""}","{""ImportId"":""QID9_4""}","{""ImportId"":""QID9_5""}","{""ImportId"":""QID9_6""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID10_2""}","{""ImportId"":""QID10_3""}","{""ImportId"":""QID10_4""}","{""ImportId"":""QID10_5""}","{""ImportId"":""QID10_6""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID1_2""}","{""ImportId"":""QID1_3""}","{""ImportId"":""QID1_4""}","{""ImportId"":""QID1_5""}","{""ImportId"":""QID1_6""}","{""ImportId"":""QID1_7""}","{""ImportId"":""QID2_1""}","{""ImportId"":""QID2_2""}","{""ImportId"":""QID2_3""}","{""ImportId"":""QID2_4""}","{""ImportId"":""QID2_5""}","{""ImportId"":""QID2_6""}","{""ImportId"":""QID2_7""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID11_2""}","{""ImportId"":""QID11_3""}","{""ImportId"":""QID11_4""}","{""ImportId"":""QID11_5""}","{""ImportId"":""QID11_6""}","{""ImportId"":""QID11_7""}","{""ImportId"":""QID11_8""}","{""ImportId"":""QID11_9""}","{""ImportId"":""QID11_10""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID12_2""}","{""ImportId"":""QID12_3""}","{""ImportId"":""QID12_4""}","{""ImportId"":""QID12_5""}","{""ImportId"":""QID12_6""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID13_2""}","{""ImportId"":""QID13_3""}","{""ImportId"":""QID13_4""}","{""ImportId"":""QID13_5""}","{""ImportId"":""QID13_6""}","{""ImportId"":""QID13_7""}","{""ImportId"":""QID13_8""}","{""ImportId"":""QID13_9""}","{""ImportId"":""QID13_10""}","{""ImportId"":""QID13_11""}","{""ImportId"":""QID13_12""}","{""ImportId"":""QID13_13""}","{""ImportId"":""QID13_14""}","{""ImportId"":""QID13_15""}","{""ImportId"":""QID13_16""}","{""ImportId"":""QID13_17""}","{""ImportId"":""QID13_18""}"
2020-10-05 6:48:45,2020-10-05 6:48:52,Survey Preview,100,7,TRUE,2020-10-05 6:48:53,R_3hbBI231QguHCq5,preview,EN,Exit - I do not consent.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-05 6:51:59,2020-10-05 6:54:22,Survey Preview,100,142,TRUE,2020-10-05 6:54:23,R_5dP7lV5Hah6YPpT,preview,EN,Continue - I wish to participate in this study.,21,Female,Heterosexual,In a committed relationship,x,x,,x,,,,,,,,linkedin,2hr,,,,,,,,,,,,Not at all,Several days,More than half the days,More than half the days,More than half the days,More than half the days,More than half the days,Poorly,Average,Average,Average,Above Standards,Mostly,Very Many,Agree,Agree,Agree,Disagree,Disagree,Agree,Strongly Agree,Agree,Agree,Agree,Very Rarely,Rarely,Rarely,Sometimes,Often,Very Often,Not at all characteristic of me.,Not at all characteristic of me.,Not at all characteristic of me.,Not much characteristic of me,Neutral,Neutral,Somewhat characteristic of me,Neutral,Neutral,Somewhat characteristic of me,Somewhat characteristic of me,Somewhat characteristic of me,Somewhat characteristic of me,Somewhat characteristic of me,Somewhat characteristic of me,Somewhat characteristic of me,Somewhat characteristic of me,Somewhat characteristic of me
2020-10-05 10:28:33,2020-10-05 10:32:48,IP Address,100,254,TRUE,2020-10-05 10:32:48,R_3R4KeqOpVhvVwGq,anonymous,EN,Continue - I wish to participate in this study.,89,Female,Heterosexual,Married,,,,,,,,,,,,,,,,,,,,,,,,,More than half the days,More than half the days,Several days,Not at all,Several days,More than half the days,Nearly everyday,,,,,,,,Agree,Disagree,Strongly Disagree,Disagree,Agree,Strongly Agree,Agree,Disagree,Strongly Disagree,Disagree,Very Often,Often,Sometimes,Rarely,Very Rarely,Rarely,Very characteristic of me.,Somewhat characteristic of me,Neutral,Not much characteristic of me,Not at all characteristic of me.,Not at all characteristic of me.,Not at all characteristic of me.,Not at all characteristic of me.,Not at all characteristic of me.,Not at all characteristic of me.,Not at all characteristic of me.,Not at all characteristic of me.,Not at all characteristic of me.,Not at all characteristic of me.,Not at all characteristic of me.,Not at all characteristic of me.,Not at all characteristic of me.,Not at all characteristic of me.
2020-10-09 16:09:34,2020-10-09 18:36:31,IP Address,100,8816,TRUE,2020-10-09 18:36:31,R_qKg4E04enWzVcGJ,anonymous,EN,Continue - I wish to participate in this study.,21,Female,Heterosexual,In a committed relationship,X,X,,X,,,X,X,,,,,2h,2h 42m,,38m,,,,,,,,,Not at all,Several days,More than half the days,Not at all,Not at all,Not at all,Not at all,Average,Slightly Satsfied,Good,Never,Above Standards,Very Much,Few,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Very Rarely,Rarely,Very Rarely,Rarely,Sometimes,Very Rarely,Somewhat characteristic of me,Not much characteristic of me,Neutral,Somewhat characteristic of me,Very characteristic of me.,Not much characteristic of me,Very characteristic of me.,Not at all characteristic of me.,Not at all characteristic of me.,Not much characteristic of me,Not much characteristic of me,Not much characteristic of me,Not much characteristic of me,Somewhat characteristic of me,Somewhat characteristic of me,Somewhat characteristic of me,Very characteristic of me.,Not much characteristic of me
2020-10-10 20:24:00,2020-10-10 20:31:33,IP Address,100,453,TRUE,2020-10-10 20:31:34,R_1kIBW8EldrND1UN,anonymous,EN,Continue - I wish to participate in this study.,36,Male,Heterosexual,In a committed relationship,X,X,X,,,,X,X,,,,,,,,,,,10 hours,4 hours,2 hours,,,,Several days,Not at all,Not at all,Several days,Not at all,Several days,Not at all,Extremely Well,Extremely Satisfied,Excellent,Never,Far Above Standards,Very Much,Very few,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Often,Sometimes,Very Rarely,Very Rarely,Very Rarely,Very Rarely,Very characteristic of me.,Somewhat characteristic of me,Somewhat characteristic of me,Neutral,Very characteristic of me.,Somewhat characteristic of me,Somewhat characteristic of me,Not at all characteristic of me.,Neutral,Not at all characteristic of me.,Not at all characteristic of me.,Not at all characteristic of me.,Not much characteristic of me,Neutral,Very characteristic of me.,Somewhat characteristic of me,Somewhat characteristic of me,Not much characteristic of me
2020-10-10 20:36:32,2020-10-10 20:42:01,IP Address,100,328,TRUE,2020-10-10 20:42:01,R_12KdO8aOVQpa9Vb,anonymous,EN,Continue - I wish to participate in this study.,23,Female,Heterosexual,In a committed relationship,X,X,X,X,X,,X,X,,,,,,,,,,,,,,,,,Several days,More than half the days,Nearly everyday,Not at all,Several days,Several days,Not at all,Average,Slightly Satsfied,Good,Never,Average,Very Much,Average,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Sometimes,Very Often,Rarely,Sometimes,Very Often,Sometimes,Neutral,Somewhat characteristic of me,Very characteristic of me.,Very characteristic of me.,Very characteristic of me.,Somewhat characteristic of me,Not at all characteristic of me.,Not at all characteristic of me.,Neutral,Not at all characteristic of me.,Not at all characteristic of me.,Not at all characteristic of me.,Neutral,Neutral,Neutral,Somewhat characteristic of me,Neutral,Not at all characteristic of me.
2020-10-10 20:37:35,2020-10-10 20:45:52,IP Address,100,496,TRUE,2020-10-10 20:45:52,R_UGBlJu2RbXnCiVX,anonymous,EN,Continue - I wish to participate in this study.,51,Male,Heterosexual,Divorced/Widowed,x,x,x,,,,,,,,,,,,,,,,5 hrs,1 hour,6 mins,,,,Not at all,Not at all,Several days,Not at all,Not at all,Several days,Not at all,Poorly,Unsatisfied,Poor,Never,Far Below Standards,Very Little,Very few,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Rarely,Rarely,Sometimes,Sometimes,Very Rarely,Very Rarely,Neutral,Not much characteristic of me,Neutral,Somewhat characteristic of me,Not much characteristic of me,Not much characteristic of me,Somewhat characteristic of me,Not much characteristic of me,Neutral,Neutral,Neutral,Not much characteristic of me,Neutral,Neutral,Not much characteristic of me,Not much characteristic of me,Neutral,Neutral
2020-10-10 22:25:13,2020-10-10 22:34:00,IP Address,100,526,TRUE,2020-10-10 22:34:00,R_2ly9MdOj694wjVT,anonymous,EN,Continue - I wish to participate in this study.,25,Female,Heterosexual,"Single, never married",X,X,X,X,X,,,X,,X,,,,,,,,,3hr,7 hrs,,1h,,,Not at all,Not at all,Not at all,Not at all,Not at all,Several days,Not at all,Less Often,Slightly Unsatisfied,Fair,Seldom,Average,Average,Frequent,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Often,Sometimes,Very Often,Rarely,Sometimes,Rarely,Somewhat characteristic of me,Somewhat characteristic of me,Not much characteristic of me,Not much characteristic of me,Neutral,Neutral,Neutral,Neutral,Very characteristic of me.,Neutral,Very characteristic of me.,Somewhat characteristic of me,Neutral,Neutral,Neutral,Not much characteristic of me,Somewhat characteristic of me,Not much characteristic of me
